date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:17:40	21004/21004	---M-Z	200	added ('OK')	application/javascript	etag:%22520c-587f5a9cbdb40-gzip%22	https://preview.colorlib.com/theme/daren/js/popper.min.js	D:/Python/Lessons/Daren/Daren/preview.colorlib.com/theme/daren/js/popper.min.js	(from https://preview.colorlib.com/theme/daren/)
11:17:41	58072/58072	---M-Z	200	added ('OK')	application/javascript	etag:%22e2d8-587f5a97f9000-gzip%22	https://preview.colorlib.com/theme/daren/js/bootstrap.min.js	D:/Python/Lessons/Daren/Daren/preview.colorlib.com/theme/daren/js/bootstrap.min.js	(from https://preview.colorlib.com/theme/daren/)
11:17:42	424/424	---M-Z	200	added ('OK')	application/javascript	etag:%221a8-587f5a98ed240-gzip%22	https://preview.colorlib.com/theme/daren/js/custom.js	D:/Python/Lessons/Daren/Daren/preview.colorlib.com/theme/daren/js/custom.js	(from https://preview.colorlib.com/theme/daren/)
11:17:43	78748/78748	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221339c-587f5a8e6f980%22	https://preview.colorlib.com/theme/daren/fonts/themify.eot?-fvbane	D:/Python/Lessons/Daren/Daren/preview.colorlib.com/theme/daren/fonts/themify9f24.eot	(from https://preview.colorlib.com/theme/daren/css/themify-icons.css)
11:17:43	78748/78748	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221339c-587f5a8e6f980%22	https://preview.colorlib.com/theme/daren/fonts/themify.eot?	D:/Python/Lessons/Daren/Daren/preview.colorlib.com/theme/daren/fonts/themifyd41d.eot	(from https://preview.colorlib.com/theme/daren/css/themify-icons.css)
11:17:44	56108/56108	---M--	200	added ('OK')	font/woff	etag:%22db2c-587f5a8f63bc0%22	https://preview.colorlib.com/theme/daren/fonts/themify.woff?-fvbane	D:/Python/Lessons/Daren/Daren/preview.colorlib.com/theme/daren/fonts/themify9f24.woff	(from https://preview.colorlib.com/theme/daren/css/themify-icons.css)
11:17:44	78584/78584	---MCZ	200	added ('OK')	font/ttf	etag:W/%22132f8-587f5a8f63bc0%22	https://preview.colorlib.com/theme/daren/fonts/themify.ttf?-fvbane	D:/Python/Lessons/Daren/Daren/preview.colorlib.com/theme/daren/fonts/themify9f24.ttf	(from https://preview.colorlib.com/theme/daren/css/themify-icons.css)
11:17:45	234269/234269	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%223931d-587f5a8e6f980%22	https://preview.colorlib.com/theme/daren/fonts/themify.svg?-fvbane	D:/Python/Lessons/Daren/Daren/preview.colorlib.com/theme/daren/fonts/themify9f24.svg	(from https://preview.colorlib.com/theme/daren/css/themify-icons.css)
11:17:45	55820/55820	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22da0c-587f5a8a9f080%22	https://preview.colorlib.com/theme/daren/fonts/Linearicons-Free.eot?w118d	D:/Python/Lessons/Daren/Daren/preview.colorlib.com/theme/daren/fonts/Linearicons-Free54e9.eot	(from https://preview.colorlib.com/theme/daren/css/liner_icon.css)
11:17:46	55820/55820	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22da0c-587f5a8a9f080%22	https://preview.colorlib.com/theme/daren/fonts/Linearicons-Free.eot?	D:/Python/Lessons/Daren/Daren/preview.colorlib.com/theme/daren/fonts/Linearicons-Freed41d.eot	(from https://preview.colorlib.com/theme/daren/css/liner_icon.css)
11:17:46	21780/21780	---M--	200	added ('OK')	font/woff2	etag:%225514-587f5a8c87500%22	https://preview.colorlib.com/theme/daren/fonts/Linearicons-Free.woff2?w118d	D:/Python/Lessons/Daren/Daren/preview.colorlib.com/theme/daren/fonts/Linearicons-Free54e9.woff2	(from https://preview.colorlib.com/theme/daren/css/liner_icon.css)
11:17:47	55696/55696	---M--	200	added ('OK')	font/woff	etag:%22d990-587f5a8c87500%22	https://preview.colorlib.com/theme/daren/fonts/Linearicons-Free.woff?w118d	D:/Python/Lessons/Daren/Daren/preview.colorlib.com/theme/daren/fonts/Linearicons-Free54e9.woff	(from https://preview.colorlib.com/theme/daren/css/liner_icon.css)
11:17:47	55620/55620	---MCZ	200	added ('OK')	font/ttf	etag:W/%22d944-587f5a8b932c0%22	https://preview.colorlib.com/theme/daren/fonts/Linearicons-Free.ttf?w118d	D:/Python/Lessons/Daren/Daren/preview.colorlib.com/theme/daren/fonts/Linearicons-Free54e9.ttf	(from https://preview.colorlib.com/theme/daren/css/liner_icon.css)
11:17:48	205847/205847	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2232417-587f5a8b932c0%22	https://preview.colorlib.com/theme/daren/fonts/Linearicons-Free.svg?w118d	D:/Python/Lessons/Daren/Daren/preview.colorlib.com/theme/daren/fonts/Linearicons-Free54e9.svg	(from https://preview.colorlib.com/theme/daren/css/liner_icon.css)
11:17:48	1251/1251	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224e3-587f5b01d49c0%22	https://preview.colorlib.com/theme/daren/img/icon/long-arrow-pointing-to-the-right.svg	D:/Python/Lessons/Daren/Daren/preview.colorlib.com/theme/daren/img/icon/long-arrow-pointing-to-the-right.svg	(from https://preview.colorlib.com/theme/daren/css/style.css)
11:17:50	982364/982364	---M--	200	added ('OK')	image/png	etag:%22efd5c-587f5ac3d7780%22	https://preview.colorlib.com/theme/daren/img/banner_blog/banner_blog_1.png	D:/Python/Lessons/Daren/Daren/preview.colorlib.com/theme/daren/img/banner_blog/banner_blog_1.png	(from https://preview.colorlib.com/theme/daren/css/style.css)
11:17:50	1219879/1219879	---M--	200	added ('OK')	image/png	etag:%22129d27-587f5ac4cb9c0%22	https://preview.colorlib.com/theme/daren/img/banner_blog/banner_blog_2.png	D:/Python/Lessons/Daren/Daren/preview.colorlib.com/theme/daren/img/banner_blog/banner_blog_2.png	(from https://preview.colorlib.com/theme/daren/css/style.css)
11:17:51	1661/1661	---M--	200	added ('OK')	image/png	etag:%2267d-587f5ae720ac0%22	https://preview.colorlib.com/theme/daren/img/elements/primary-check.png	D:/Python/Lessons/Daren/Daren/preview.colorlib.com/theme/daren/img/elements/primary-check.png	(from https://preview.colorlib.com/theme/daren/css/style.css)
11:17:51	1205/1205	---M--	200	added ('OK')	image/png	etag:%224b5-587f5ae814d00%22	https://preview.colorlib.com/theme/daren/img/elements/success-check.png	D:/Python/Lessons/Daren/Daren/preview.colorlib.com/theme/daren/img/elements/success-check.png	(from https://preview.colorlib.com/theme/daren/css/style.css)
11:17:52	1249/1249	---M--	200	added ('OK')	image/png	etag:%224e1-587f5add97440%22	https://preview.colorlib.com/theme/daren/img/elements/disabled-check.png	D:/Python/Lessons/Daren/Daren/preview.colorlib.com/theme/daren/img/elements/disabled-check.png	(from https://preview.colorlib.com/theme/daren/css/style.css)
11:17:52	1284/1284	---M--	200	added ('OK')	image/png	etag:%22504-587f5ae814d00%22	https://preview.colorlib.com/theme/daren/img/elements/primary-radio.png	D:/Python/Lessons/Daren/Daren/preview.colorlib.com/theme/daren/img/elements/primary-radio.png	(from https://preview.colorlib.com/theme/daren/css/style.css)
11:17:53	1209/1209	---M--	200	added ('OK')	image/png	etag:%224b9-587f5ae908f40%22	https://preview.colorlib.com/theme/daren/img/elements/success-radio.png	D:/Python/Lessons/Daren/Daren/preview.colorlib.com/theme/daren/img/elements/success-radio.png	(from https://preview.colorlib.com/theme/daren/css/style.css)
11:17:54	1173/1173	---M--	200	added ('OK')	image/png	etag:%22495-587f5ade8b680%22	https://preview.colorlib.com/theme/daren/img/elements/disabled-radio.png	D:/Python/Lessons/Daren/Daren/preview.colorlib.com/theme/daren/img/elements/disabled-radio.png	(from https://preview.colorlib.com/theme/daren/css/style.css)
11:17:54	12/12	---M--	200	added ('OK')	text/css	etag:%22c-5c1f9b6437107%22	https://preview.colorlib.com/theme/daren/css/slick.css	D:/Python/Lessons/Daren/Daren/preview.colorlib.com/theme/daren/css/slick.css	(from https://preview.colorlib.com/theme/daren/archive.html)
